Array Name,Memory Name,Port 1 Dimension / Map,Port 2 Dimension / Map,Primitive,Available Bits,Used Bits,Bit Util%,A Depth,A Depth Avail,A Depth Util%,A Width,A Width Avail,A Width Util%,B Depth,B Depth Avail,B Depth Util%,B Width,B Width Avail,B Width Util%,Port A Type,Port A Requirement (ns),Port B Type,Port B Requirement (ns),A Cascade,IREG_A,OREG_A,DOA_REG, B Cascade,IREG_B,OREG_B,DOB_REG,Port A PowerGated, Port A Enable, Port A WRITE_MODE, A Cascade, Port B PowerGated, Port B Enable,Port B WRITE_MODE, B Cascade
WRAPPER_INST/CL/firesim_top/top/CPUManagedStreamEngine_0/TRACERVBRIDGEMODULE_0_to_cpu_stream_outgoingQueue/fq/ram,WRAPPER_INST/CL/firesim_top/top/CPUManagedStreamEngine_0/TRACERVBRIDGEMODULE_0_to_cpu_stream_outgoingQueue/fq/ram_reg_uram_0,B:B:4096x71,A:A:4096x72,URAM288,294912,294912,100,4096,4096,100,72,72,100,4096,4096,100,71,72,98.6111,Read,20,Write,20,FIRST,0,0,,FIRST,0,0,,,SIGNAL,,FIRST,,SIGNAL,,FIRST,
WRAPPER_INST/CL/firesim_top/top/CPUManagedStreamEngine_0/TRACERVBRIDGEMODULE_0_to_cpu_stream_outgoingQueue/fq/ram,WRAPPER_INST/CL/firesim_top/top/CPUManagedStreamEngine_0/TRACERVBRIDGEMODULE_0_to_cpu_stream_outgoingQueue/fq/ram_reg_uram_1,B:B:2048x71,A:A:2048x72,URAM288,294912,147456,50,2048,4096,50,72,72,100,2048,4096,50,71,72,98.6111,Read,20,Write,20,LAST,0,0,,LAST,0,0,,,SIGNAL,,LAST,,SIGNAL,,LAST,
WRAPPER_INST/CL/firesim_top/top/CPUManagedStreamEngine_0/TRACERVBRIDGEMODULE_0_to_cpu_stream_outgoingQueue/fq/ram,WRAPPER_INST/CL/firesim_top/top/CPUManagedStreamEngine_0/TRACERVBRIDGEMODULE_0_to_cpu_stream_outgoingQueue/fq/ram_reg_uram_2,B:B:4096x33,A:A:4096x33,URAM288,294912,135168,45.8333,4096,4096,100,33,72,45.8333,4096,4096,100,33,72,45.8333,Read,20,Write,20,FIRST,0,0,,FIRST,0,0,,,SIGNAL,,FIRST,,SIGNAL,,FIRST,
WRAPPER_INST/CL/firesim_top/top/CPUManagedStreamEngine_0/TRACERVBRIDGEMODULE_0_to_cpu_stream_outgoingQueue/fq/ram,WRAPPER_INST/CL/firesim_top/top/CPUManagedStreamEngine_0/TRACERVBRIDGEMODULE_0_to_cpu_stream_outgoingQueue/fq/ram_reg_uram_3,B:B:2048x33,A:A:2048x33,URAM288,294912,67584,22.9167,2048,4096,50,33,72,45.8333,2048,4096,50,33,72,45.8333,Read,20,Write,20,LAST,0,0,,LAST,0,0,,,SIGNAL,,LAST,,SIGNAL,,LAST,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_1,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,FIRST,,,0,,,,,,SIGNAL,READ_FIRST,FIRST,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_2,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_3,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_4,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_5,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0,WRAPPER_INST/CL/firesim_top/top/sim/target/FireSim_/lazyModule/system/subsystem_l2_wrapper/l2/mods_0/bankedStore/cc_banks_0_reg_bram_6,A:A:1024x36,,RAMB36E2,36864,36864,100,1024,1024,100,36,36,100,,,,,,,Read / Write,20,,,MIDDLE,,,0,,,,,,SIGNAL,READ_FIRST,MIDDLE,,,,,
